post_id,post_post_url,post_creation_time,period_key,source_type,page_name,page_profile_url,brand,attribution_confidence,reactions,comments,shares,EP,ADV,SentimentProxy,comments_export_coverage,unique_comment_authors,comment_replies_sum,Depth,depth_available,median_reply_time_minutes,ServiceScore,BES_raw
7738,https://www.facebook.com/groups/bcub.bd/permalink/3780570872246391/,2025-12-21T06:43:21+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,IFIC Bank,post_tag,0,0,0,0,0,0,0,0,0,0,false,,0,0
3795,https://www.facebook.com/reel/33091514073772771/,2025-10-26T16:38:36+00:00,2025-W43,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,100,6,15,157,15,0.1,0,0,0,0,false,,0,1.348906999402001
4170,https://www.facebook.com/primebankofficial/posts/pfbid0UknwokQaEfqr9QFBBj6tY7yid2qLxEcouYHKgZxddbVArWHnmDwLXE6bGyFw39fYl,2025-12-21T04:00:05+00:00,2025-W51,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,148,12,4,184,4,0.1554054054054054,0,0,0,0,false,,0,1.1593328481404608
3757,https://www.facebook.com/primebankofficial/posts/pfbid02ni11zm9ht3hBxJz1xLXN1SNhySF6Snqp1STy9wo8TzjdAoLPgvibmuQ2nxEMsbtpl,2025-10-20T17:13:33+00:00,2025-W43,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,92,0,2,98,2,0.08695652173913043,0,0,0,0,false,,0,0.939425217862506
7857,https://www.facebook.com/BRACBANK/posts/pfbid02gRTbwCQQLgJZXbjzK8PqwfKqABXRE7v4bz5iCyUHJtZyuVXFr4sFsEwF3J1FKNs3l,2025-10-23T13:02:07+00:00,2025-W43,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,1777,278,32,2429,33,0.172763083849184,0.42,9,18,0,false,38.7,0.2698160974057433,1.9755585793314971
7893,https://www.facebook.com/BRACBANK/posts/pfbid02FzMCfNxqpGSVyggpVKVce6NYAY73o7CEyLEuVSaUSw29PMth8qbVYEvhKFwyBFuul,2025-11-03T16:00:12+00:00,2025-W45,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,369,84,14,579,14,0.07588075880758807,0,0,0,0,false,,0,1.5226225213341673
3716,https://www.facebook.com/groups/bcub.bd/permalink/3784094501894028/,2025-12-25T07:33:31+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,United Commercial Bank,post_tag,2,1,1,7,1,0,1,1,0,0.6931471805599453,true,,0,0.5545177444479562
7927,https://www.facebook.com/BRACBANK/posts/pfbid02KP9QUazijixh7g7a7wg16MmnJ5cArvEP9oDKK2Dw8hBWhYJq3J5FvgBzzSitxxs7l,2025-11-27T12:41:45+00:00,2025-W48,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,497,39,9,602,9,0.1488933601609658,0,0,0,0,false,,0,1.4729172741642251
7938,https://www.facebook.com/BRACBANK/videos/25129926979997994/,2025-11-23T13:01:05+00:00,2025-W47,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,11700,2329,143,16787,143,0.062393162393162394,0,0,0,0,false,,0,2.475063210420829
7949,https://www.facebook.com/BRACBANK/posts/pfbid02d4xRAFDnuy2KpFcShZBurDS1rzur4dv5xHNZrfhDokw9wZvXUorKpDe3XQcRqvryl,2025-11-30T15:10:58+00:00,2025-W48,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,833,65,23,1032,23,0.15726290516206481,0,0,0,0,false,,0,1.7316861532442578
3637,https://www.facebook.com/groups/bcub.bd/permalink/3787526758217469/,2025-12-29T18:23:59+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,City Bank,comment_tag,4,6,0,16,1,0,1,6,0,1.9459101490553132,true,,0,0.8554979600787185
7691,https://www.facebook.com/groups/bcub.bd/permalink/3780929875543824/,2025-12-21T16:54:58+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,BRAC Bank PLC,post_tag,36,42,0,120,0,0,0,0,0,0,false,,0,0.7193685818395111
3702,https://www.facebook.com/groups/bcub.bd/permalink/3783182158651929/,2025-12-25T07:39:38+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Eastern Bank PLC,post_tag,6,4,0,14,0,0,1,4,1,2.3025850929940455,true,,0,0.7515952941144384
7975,https://www.facebook.com/BRACBANK/posts/pfbid02LPTrtp2NVGPMcdxjQobA58nGWKT16N3UCjed31wUfhKnbSuGWp3nveeiddWWvSRSl,2025-12-18T16:50:43+00:00,2025-W51,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,2000,79,10,2188,10,0.046,0,0,0,0,false,,0,1.6493590691881035
7697,https://www.facebook.com/groups/bcub.bd/permalink/3777979042505574/,2025-12-21T10:38:17+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Dutch-Bangla Bank PLC,post_tag,68,16,0,100,0,0.6470588235294118,0,0,0,0,false,,0,0.918738665761483
7983,https://www.facebook.com/BRACBANK/posts/pfbid02HHhnoDjLPix9R75UBmPZhjgxdSbekhAcVvk8GjmrTxWesXYaaiUYgULqQKVatLh8l,2025-12-14T02:01:31+00:00,2025-W50,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,634,57,81,991,81,0.19400630914826497,0,0,0,0,false,,0,1.9842045237474744
3719,https://www.facebook.com/groups/bcub.bd/permalink/3784135815223230/,2025-12-25T06:39:46+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Dutch-Bangla Bank PLC,post_tag,9,13,0,35,1,-0.5555555555555556,1,6,12,4.51085950651685,true,,0,1.1583417584134885
7999,https://www.facebook.com/BRACBANK/posts/pfbid02JSsHndFdVo1CrUN5RDcsYCjDKgFgb9wG5Gap4VEqVPqvJ6gyEKX4epEgCh1NiTnml,2025-12-30T03:38:30+00:00,2026-W01,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,16321,3212,1038,25859,1038,-0.4983150542246186,0,0,0,0,false,,0,2.738860427090106
7904,https://www.facebook.com/BRACBANK/posts/pfbid0HjNPE4zXzN6zupSTqm8eCWrAhCXatbrX5iFzcpJQPDn7SRVMThuRKJuKEK4nnSGTl,2025-11-09T14:45:03+00:00,2025-W45,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,6198,296,62,6976,62,0.13665698612455632,0,0,0,0,false,,0,2.2040130360127868
3759,https://www.facebook.com/primebankofficial/posts/pfbid02EvRcsXUE5AGbB1W2DzCBf1191UPXLjuskCnoQSwze1Ry2qvQGDrmNMPyPZmBmPsal,2025-10-20T05:52:38+00:00,2025-W43,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,174,12,6,216,6,0.12643678160919541,0,0,0,0,false,,0,1.2404195064053498
3738,https://www.facebook.com/primebankofficial/posts/pfbid0hD7FgCDxURJFdoGR3r6qzMnTsJJt4PcC3k5LPKBdyFpEhpwoz2n15HtahUCDdTzFl,2025-10-05T04:27:14+00:00,2025-W40,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,361,14,21,452,21,0.07756232686980609,0,0,0,0,false,,0,1.5627391238985506
3740,https://www.facebook.com/primebankofficial/posts/pfbid02jaPGPj2W156bKqD7PEi59ijRuRqvdkDkgMTCWDGoe1YmvbufBdjv1jBBgzWcJEJ4l,2025-10-04T11:00:40+00:00,2025-W40,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,176,2,7,201,7,0.03409090909090909,0,0,0,0,false,,0,1.2240602811279662
7945,https://www.facebook.com/BRACBANK/videos/853768073801688/,2025-12-03T04:33:58+00:00,2025-W49,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,612,46,58,878,58,0.1323529411764706,0,0,0,0,false,,0,1.8786487528456852
7543,https://www.facebook.com/groups/bcub.bd/permalink/3788243904812421/,2025-12-30T09:20:11+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Dutch-Bangla Bank PLC,comment_tag,82,45,0,172,1,0.6341463414634146,0.8,26,27,6.628041376179533,true,,0,2.1277806012257807
3639,https://www.facebook.com/groups/bcub.bd/permalink/3787598318210313/,2025-12-29T18:23:43+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Eastern Bank PLC,comment_tag,1,2,0,5,1,0,1,2,0,1.0986122886681096,true,,0,0.5721851997964137
3639,https://www.facebook.com/groups/bcub.bd/permalink/3787598318210313/,2025-12-29T18:23:43+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Mutual Trust Bank,comment_tag,1,2,0,5,1,0,1,2,0,1.0986122886681096,true,,0,0.5721851997964137
3639,https://www.facebook.com/groups/bcub.bd/permalink/3787598318210313/,2025-12-29T18:23:43+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Southeast Bank,comment_tag,1,2,0,5,1,0,1,2,0,1.0986122886681096,true,,0,0.5721851997964137
