brand,source_type,period_key,n_posts,reactions,comments,shares,EP,AdvocacyShares,SentimentProxy_avg_w,Depth_avg_w,ServiceScore_avg_w,BES_raw_avg,BES_0_100,depth_covered_posts,service_covered_posts
Pubali Bank,earned,2025-W52,4,70,87,2,250,2,0.016678708132988173,4.844079788484944,0.09823634755115306,1.4566588740766142,49.98413278302303,4,1
BRAC Bank PLC,owned,2025-W40,3,2732,232,135,3601,135,0.24188987863202308,6.799931911519793,0.272593266109799,2.9348893613092346,100.00000000000001,3,3
Eastern Bank PLC,earned,2025-W51,7,122,57,2,242,2,0.05595388326113355,0,0,0.5932529404549638,82.02617385339177,0,0
Prime Bank,owned,2025-W49,3,5405,399,45,6338,45,0.07957192668349848,0,0,1.6466737025970262,0,0,0
Prime Bank,owned,2025-W42,3,4644,439,39,5639,39,0.1439944134975709,0,0,1.571869233930421,0,0,0
American Express,earned,2025-W52,3,40,40,0,120,0,0.03375772273451907,1.7514393095953928,0,0.8243663452619078,14.711480637406343,1,0
Southeast Bank,earned,2025-W51,1,1,0,0,1,0,0,0,0,0.10397207708399181,0,0,0
Sonali Bank,earned,2025-W52,1,2,3,0,8,0,0,2.484906649788,0,0.7023196840686329,7.903066446787501,1,0
Prime Bank,owned,2025-W50,3,2646,72,14,2832,14,0.06861460801237969,0,0,1.2806135831614855,0,0,0
Prime Bank,owned,2025-W45,4,282,36,24,426,24,0.10502210958188915,0,0,1.0749749775758246,0,0,0
Bangladesh Bank,earned,2025-W52,1,90,76,2,248,2,0.05555555555555555,8.028129059431759,0.16463708194839635,2.353236172345152,100,1,1
Islami Bank Bangladesh,earned,2025-W51,1,22,7,0,36,0,-0.13636363636363635,0,0,0.4939104141693609,65.37175725512868,0,0
AB Bank,earned,2026-W01,1,0,0,0,0,0,0,0,0,0,0,0,0
Prime Bank,owned,2025-W52,1,45,2,2,55,2,0.15555555555555556,0,0,0.8779696557883389,0,0,0
Sonali Bank,earned,2026-W01,1,12,16,0,44,0,0,5.123963979403259,0,1.4782234064880257,76.5315788324584,1,0
American Express,earned,2025-W51,1,10,7,0,24,0,0,0,0,0.4828313737302301,63.51439604355833,0,0
Midland Bank,earned,2025-W52,2,65,90,1,248,1,0,6.721110799741477,0,1.9118148759758167,75.3751639835277,2,0
American Express,earned,2026-W01,2,24,31,0,86,0,0.11829905434928466,4.997448612784705,0,1.4182040535867892,73.42421642845812,2,0
United Commercial Bank,earned,2025-W51,3,6,8,0,22,0,0,0,0,0.32322589088677944,36.757111907258036,0,0
Trust Bank,earned,2026-W01,2,138,69,1,279,1,0.191294707792096,6.016058411865129,0,1.882735008876316,97.47422623673239,2,0
Premier Bank,earned,2025-W52,1,2,2,0,6,0,0,1.791759469228055,0,0.5606504427425052,0,1,0
IFIC Bank,earned,2025-W52,3,71,71,1,216,1,0.05400943007567173,4.8924711132586785,0,1.5474844668607213,55.050869133994645,3,0
Mercantile Bank,earned,2025-W52,1,43,49,1,144,1,0,6.992096427415887,0,2.015046983209091,81.13400193077374,1,0
One Bank,earned,2025-W52,1,5,13,0,31,0,0,3.6888794541139367,0,1.2118217396490385,36.32581059600843,1,0
Standard Chartered Bank,earned,2025-W51,1,14,3,0,20,0,0,0,0,0.45667836565851344,59.129938470253904,0,0
Bank Asia,earned,2025-W51,1,18,8,0,34,0,0.05555555555555555,0,0,0.5527466536678565,75.23544081866149,0,0
Agrani Bank,earned,2026-W01,1,8,2,0,12,0,0,1.791759469228055,0,0.6535063240034387,33.83377000625541,1,0
Agrani Bank,earned,2025-W52,1,39,44,0,127,0,-0.02564102564102564,6.70196036600254,0,1.8627536716259536,72.63826813862225,1,0
Rupali Bank,earned,2026-W01,1,7,1,0,9,0,0,0.6931471805599453,0,0.5879892771450878,30.44177728411178,1,0
Trust Bank,earned,2025-W52,1,25,0,0,25,0,0.72,0,0,0.7407144807032223,10.044933136929021,0,0
